For group number 0
First Point(x: 61, y: 175)
68 174 61 175 7.0710678118654755 
67 184 68 174 10.04987562112089 
62 196 67 184 13.0 
58 201 62 196 6.4031242374328485 
59 203 58 201 2.23606797749979 
54 203 58 201 4.47213595499958 
64 206 59 203 5.830951894845301 
66 202 64 206 4.47213595499958 
69 198 66 202 5.0 
72 203 69 198 5.830951894845301 
65 213 64 206 7.0710678118654755 
61 216 65 213 5.0 
56 213 61 216 5.830951894845301 
45 228 56 213 18.601075237738275 
29 217 45 228 19.4164878389476 
22 222 29 217 8.602325267042627 
16 211 22 222 12.529964086141668 
22 204 16 211 9.219544457292887 
10 190 22 204 18.439088914585774 
10 176 10 190 14.0 
15 172 10 176 6.4031242374328485 
11 169 15 172 5.0 
13 163 11 169 6.324555320336759 
28 164 13 163 15.033296378372908 
39 178 28 164 17.804493814764857 
For group number 1
First Point(x: 213, y: 234)
213 232 213 234 2.0 
210 233 213 234 3.1622776601683795 
222 236 213 234 9.219544457292887 
227 229 222 236 8.602325267042627 
230 224 227 229 5.830951894845301 
233 218 230 224 6.708203932499369 
224 210 233 218 12.041594578792296 
205 221 210 233 13.0 
196 214 205 221 11.40175425099138 
195 230 205 221 13.45362404707371 
212 202 224 210 14.422205101855956 
209 207 212 202 5.830951894845301 
204 202 209 207 7.0710678118654755 
195 245 195 230 15.0 
194 251 195 245 6.082762530298219 
201 255 194 251 8.06225774829855 
206 253 201 255 5.385164807134504 
219 251 206 253 13.152946437965905 
236 242 222 236 15.231546211727817 
235 247 236 242 5.0990195135927845 
251 244 236 242 15.132745950421556 
254 255 251 244 11.40175425099138 
180 227 195 230 15.297058540778355 
250 216 233 218 17.11724276862369 
252 218 250 216 2.8284271247461903 
252 203 250 216 13.152946437965905 
163 233 180 227 18.027756377319946 
160 249 163 233 16.278820596099706 
160 251 160 249 2.0 
158 251 160 251 2.0 
176 247 160 249 16.1245154965971 
179 204 196 214 19.72308292331602 
222 184 212 202 20.591260281974 
239 186 222 184 17.11724276862369 
243 184 239 186 4.47213595499958 
For group number 2
First Point(x: 167, y: 129)
165 134 167 129 5.385164807134504 
169 139 165 134 6.4031242374328485 
164 144 169 139 7.0710678118654755 
158 138 165 134 8.06225774829855 
148 140 158 138 10.198039027185569 
177 151 169 139 14.422205101855956 
186 137 177 151 16.64331697709324 
171 167 177 151 17.08800749063506 
165 173 171 167 8.48528137423857 
163 163 171 167 8.94427190999916 
160 183 165 173 11.180339887498949 
150 159 163 163 13.601470508735444 
154 112 167 129 21.400934559032695 
193 167 171 167 22.0 
For group number 3
First Point(x: 140, y: 199)
120 197 140 199 20.09975124224178 
118 185 120 197 12.165525060596439 
126 174 118 185 13.601470508735444 
134 179 126 174 9.433981132056603 
99 203 120 197 21.840329667841555 
98 196 99 203 7.0710678118654755 
104 219 99 203 16.76305461424021 
121 222 104 219 17.26267650163207 
99 173 118 185 22.47220505424423 
82 175 99 173 17.11724276862369 
For group number 4
First Point(x: 234, y: 15)
231 6 234 15 9.486832980505138 
245 13 234 15 11.180339887498949 
244 9 245 13 4.123105625617661 
249 11 245 13 4.47213595499958 
252 7 249 11 5.0 
253 0 252 7 7.0710678118654755 
254 18 249 11 8.602325267042627 
255 30 254 18 12.041594578792296 
217 6 231 6 14.0 
209 0 217 6 10.0 
197 4 209 0 12.649110640673518 
198 7 197 4 3.1622776601683795 
228 29 234 15 15.231546211727817 
222 30 228 29 6.082762530298219 
